Name,Address,Latitude,Longitude,Primary Surface,Secondary Surface,Owner,Number of Courts,Lights/No Lights,Pickleball Lines,Indoor/Outdoor,Public/Private,City,Tennis Club Name,Club Website,Membership,Winter Play,Phone,Type,Public City URL,Indoor Court Type,Notes,Operating Season,Public Hours Monday,Public Hours Tuesday,Public Hours Wednesday,Public Hours Thursday,Public Hours Friday,Public Hours Saturday,Public Hours Sunday,Public Hours Holidays,Public Hours Verified
Indian Line Park,"655 Humberwood Blvd, Toronto, ON M9W 7E1",43.72506782,-79.62252949,Hardcourt-Asphalt,,City of Toronto,2,Lights,1,Outdoor,Public,Toronto,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=936,,,Summer,,,,,,,,,
Iroquois Park,"295 Chartland Blvd S, Scarborough, ON M1S 3P4",43.8035487,-79.26838586,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,Scarborough,Iroquois Tennis Club,http://www.iroquoistennisclub.ca,Open,No,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=686,,,Summer,4 p.m. - 6 p.m.,,,,,5 p.m. - 7 p.m.,5 p.m. - 7 p.m.,4 p.m. - 6 p.m.,
Irving W. Chapley Park,"205 Wilmington Ave, Toronto, ON M3H 6B3",43.76249877,-79.45618128,Hardcourt-Asphalt,,City of Toronto,2,Lights,2,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=665,,,Summer,,,,,,,,,
Jeff Healey Park,"1 Delroy Dr, Etobicoke, ON M8Y 1M7",43.63039507,-79.4959791,Hardcourt-Asphalt,,City of Toronto,2,Lights,1,Outdoor,Public,Etobicoke,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=875,,,Summer,,,,,,,,,
Jimmie Simpson Park,"870 Queen St E, Toronto, ON M4M 3G9",43.66094455,-79.34433538,Hardcourt-Asphalt,,City of Toronto,2,Lights,2,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=155,,,Summer,,,,,,,,,
Jonathan Ashbridge Park,"1515 Queen St E, Toronto, ON M4L 1E3",43.66483459,-79.32028671,Hardcourt-Asphalt,,City of Toronto,2,No Lights,2,Outdoor,Public reservable,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=67,,,Summer,,,,,,,,,
June Rowlands Park,"220 Davisville Ave, Toronto, ON M6G 2P7",43.70116383,-79.38840167,Hardcourt-Acrylic,,City of Toronto,6,Lights,No,Outdoor,Private with some public hours,Toronto,Davisville Tennis Club,http://www.davisvilletennisclub.com,Waitlist,No,416-481-6569,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=78,,,Summer,,,,,,9 p.m. - 11 p.m.,6 p.m. - 11 p.m.,,
Kingsview Park,"46 Kingsview Blvd, Etobicoke, ON M9R 1T8",43.69896045,-79.55502507,Hardcourt-Asphalt,,City of Toronto,2,No Lights,2,Outdoor,Public,Etobicoke,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=959,,,Summer,,,,,,,,,
Kirkwood Park,"25 Kirkwood Rd, North York, ON M2L 2G2",43.75599991,-79.36167826,Hardcourt-Asphalt,,City of Toronto,4,Lights,4,Outdoor,Public,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=672,,,Summer,,,,,,,,,
Laburnham Park,"60 Laburnham Ave, Toronto, ON M8W 1S7",43.60087369,-79.52671029,Hardcourt-Asphalt,,City of Toronto,2,Lights,2,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1029,,,Summer,,,,,,,,,
Lakeshore Boulevard Parklands,"1389 Lake Shore Blvd W, Toronto, ON M6K 3C1",43.63352316,-79.43819594,Hardcourt-Asphalt,,City of Toronto,4,No Lights,4,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=112,,,Summer,,,,,,,,,
Lambton - Kingsway Park,"37 Marquis Ave, Etobicoke, ON M8X 1V1",43.65814703,-79.50722652,Hardcourt-Asphalt,,City of Toronto,2,No Lights,1,Outdoor,Public,Etobicoke,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=847,,,Summer,,,,,,,,,
Lanyard Park,"138 Lanyard Rd, Toronto, ON",43.74734025,-79.54876264,Hardcourt-Asphalt,,City of Toronto,3,No Lights,2,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=674,,,Summer,,,,,,,,,
Lawrence Park Ravine,"51 Alexander Muir Rd, Toronto, ON M4N 0A3",43.72081538,-79.39900378,Green-Clay,,City of Toronto,3,Lights,No,Outdoor,Private,Toronto,Lawrence Park Tennis Club,http://www.lawrenceparktennisclub.ca,Waitlist,No,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=119,,,Summer,,,,,,,,,
Leaside Park,"5 Leaside Park Dr, Toronto, ON M4H 1R1",43.7030311,-79.34924279,Hardcourt-Acrylic,,City of Toronto,6,Lights,No,Outdoor,Private with some public hours,Toronto,Thorncliffe Park Tennis Club,http://www.tptc.ca,Open,No,416-429-7108,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=425,,,Summer,,,,,,8 p.m. - 11 p.m.,8 p.m. - 11 p.m.,,
Lillian Park,"227 Otonabee Ave, North York, ON M2M 2S9",43.79767057,-79.40786649,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,North York,Newtonbrook Tennis Club,http://www.newtonbrooktennis.com,Open,No,416-512-7432,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=681,,,Summer,,,,,,12 p.m. - 3 p.m.,12 p.m. - 3 p.m.,,
Lora Hill Park,"36 Fernalroy Blvd, Etobicoke, ON M8Z 3W1",43.63831772,-79.51462672,Hardcourt-Asphalt,,City of Toronto,2,Lights,1,Outdoor,Public,Etobicoke,,,,Yes,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=922,,,Summer,,,,,,,,,
Lytton Park,"200 Lytton Blvd, Toronto, ON M4R 1L4",43.71529688,-79.41082603,Hardcourt-Asphalt,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,Toronto,North Toronto Tennis Club,http://northtorontotennis.com/,,No,416-312-5300,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=138,,,Summer,,,,,,,4:30 p.m. - 10:30 p.m.,8 a.m. - 10 a.m.,2026
Major Abbas Ali Park,"180 McLevin Ave, Toronto, ON M1B 4Z7",43.80358088,-79.23201895,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,Toronto,Major Abbas Ali Park Tennis Club,,,No,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=708,,,Summer,,4 p.m. - 6 p.m.,4 p.m. - 6 p.m.,4 p.m. - 6 p.m.,,4 p.m. - 6 p.m.,4 p.m. - 6 p.m.,4 p.m. - 6 p.m.,
Malvern Park,"36 Sewells Rd, Scarborough, ON M1B 3G5",43.80897745,-79.21776885,Hardcourt-Asphalt,,City of Toronto,3,Lights,1,Outdoor,Public,Scarborough,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2593,,,Summer,,,,,,,,,
Manchester Park,"75 Manchester St, Toronto, ON",43.62091649,-79.49013933,Hardcourt-Asphalt,,City of Toronto,3,Lights,3,Outdoor,Public reservable,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=920,,,Summer,,,,,,,,,
Maple Leaf Park,"320 Culford Rd, North York, ON M6L 2V7",43.71609299,-79.49371149,Hardcourt-Acrylic,,City of Toronto,3,Lights,3,Outdoor,Public reservable,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=688,,,Summer,,,,,,,,,
Martingrove Gardens Park,"31 Lavington Dr, Toronto, ON M9R 2H3",43.68943495,-79.56359642,Hardcourt-Asphalt,,City of Toronto,2,Lights,2,Outdoor,Public,Toronto,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=849,,,Summer,,,,,,,,,
Maryland Park,"19 Maryland Blvd, Toronto, ON M4C 5C9",43.6918733,-79.29531363,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,Toronto,Dentonia Park Tennis Club,https://www.dentoniatennis.com,Open,Yes,416-699-2412,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2016,,,Summer,,,,,,,4:30 p.m. - 11 p.m.,8:30 p.m. - 11 p.m.,
Maryvale Park,"5 Trestleside Grove, Scarborough, ON M1R 5A9",43.75388589,-79.30599581,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,Scarborough,Maryvale Tennis Club,https://clubspark.ca/MARYVALETENNISCLUB,Open,Yes,416-878-5005,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=704,,,Summer,,,,,,12 p.m. - 3 p.m.,12 p.m. - 3 p.m.,12 p.m. - 3 p.m.,
McDairmid Woods Park,"51 Rubic Crescent, Scarborough, ON M1S 4Y2",43.78062159,-79.26619701,Hardcourt-Asphalt,,City of Toronto,3,Lights,3,Outdoor,Public,Scarborough,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=791,,,Summer,,,,,,,,,
McGregor Park,"2231 Lawrence Ave E, Scarborough, ON M1P 2P5",43.74699179,-79.28097073,Hardcourt-Asphalt,,City of Toronto,3,No Lights,3,Outdoor,Public,Scarborough,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2036,,,Summer,,,,,,,,,
Mcnicoll Park,"215 McNicoll Ave, North York, ON M2H 2C4",43.79812283,-79.35384113,Hardcourt-Asphalt,,City of Toronto,3,Lights,No,Outdoor,Public,North York,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=689,,,Summer,,,,,,,,,
Michael Mostyn Balmoral Park,"170 Faywood Blvd, North York, ON M3H 6A2",43.74501596,-79.45011959,Hardcourt-Asphalt,,City of Toronto,3,Lights,3,Outdoor,Public reservable,North York,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=505,,,Summer,,,,,,,,,
Mill Valley Park,"412 Mill Rd, Toronto, ON M9C",43.64341843,-79.58768669,Hardcourt-Asphalt,,City of Toronto,2,No Lights,2,Outdoor,Public,Toronto,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2486,,,Summer,,,,,,,,,
Millwood Park,"4370 Bloor St W, Toronto, ON",43.63202269,-79.57905299,Hardcourt-Asphalt,,City of Toronto,3,Lights,1,Outdoor,Public,Toronto,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=853,,,Summer,,,,,,,,,
Mimico Memorial Park,"75 Hillside Ave, Etobicoke, ON M8V 1S9",43.6091104,-79.49363005,Green-Clay,,City of Toronto,3,Lights,No,Outdoor,Private,Etobicoke,Mimico Tennis Club,http://www.mimicotennisclub.org,Open,,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=854,,,Summer,,,,,,,,,
Moore Park - North York,"110 Cactus Ave, North York, ON M2R 2V4",43.79171319,-79.43453018,Hardcourt-Asphalt,,City of Toronto,3,No Lights,No,Outdoor,Public,North York,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=695,,,Summer,,,,,,,,,
Moorevale Park,"175 Moore Ave, Toronto, ON M4T 1V8",43.6933302,-79.38272207,Hardcourt-Acrylic,,City of Toronto,5,Lights,No,Outdoor,Private with some public hours,Toronto,Moore Park Tennis Club,http://www.mooretennis.com,Waitlist,,647-556-7877,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=168,,,Summer,,,,,,8 p.m. - 11 p.m.,8 p.m. - 11 p.m.,9 p.m. - 11 p.m.,
Moss Park,"150 Sherbourne St, Toronto, ON M5A 2R6",43.65513316,-79.37225258,Hardcourt-Asphalt,,City of Toronto,2,Lights,No,Outdoor,Public,Toronto,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=177,,,Summer,,,,,,,,,
North Bendale Park,"40 Erinlea Crescent, Scarborough, ON M1H 2R7",43.77002162,-79.24608104,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,Scarborough,North Bendale Tennis Club,http://www.northbendaletennisclub.org,Open,,416-451-7526,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=726,,,Summer,,,,,,9:30 a.m. - 12:30 p.m.,9:30 a.m. - 12:30 p.m.,9 p.m. - 11 p.m.,
North Park,"587 Rustic Rd, North York, ON M6L 2L1",43.71828138,-79.47179118,Hardcourt-Asphalt,,City of Toronto,2,No Lights,No,Outdoor,Public,North York,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=700,,,Summer,,,,,,,,,
Norwood Park,"16 Norwood Rd, Toronto, ON M4E 2R8",43.68264634,-79.30312834,Hardcourt-Asphalt,,City of Toronto,5,Lights,No,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=228,,,Summer,,,,,,,,,
Old Mill Site Park,"5 Catherine St, Toronto, ON M6S 1W6",43.65090582,-79.49043994,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,Toronto,York Old Mill Tennis Club,http://www.oldmilltennis.com,Open,,416-763-3088,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1884,,,Summer,,,,,,5 p.m. - 11 p.m.,,2 p.m. - 4 p.m.,
Oriole Park - North York,"2955 Don Mills Rd., North York, ON M2J 3B6",43.78181558,-79.35084976,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Public,North York,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=937,,,Summer,,,,,,,,,
Oriole Park - Toronto,"201 Oriole Pkwy, Toronto, ON M5P 2H1",43.69705098,-79.39955307,Hardcourt-Asphalt,,City of Toronto,2,No Lights,No,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=245,,,Summer,,,,,,,,,
Ourland Park,"18 Ourland Ave, Etobicoke, ON M8Z 4C9",43.61631232,-79.50964461,Hardcourt-Asphalt,,City of Toronto,2,Lights,1,Outdoor,Public,Etobicoke,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=857,,,Summer,,,,,,,,,
Park Lawn Park,"330 Park Lawn Rd, Etobicoke, ON M8Y 3K3",43.63938086,-79.49546356,Hardcourt-Asphalt,,City of Toronto,4,Lights,3,Outdoor,Public,Etobicoke,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=858,,,Summer,,,,,,,,,
Pelmo Park,"171 Pellatt Ave, North York, ON M9N 2M1",43.71401945,-79.51926869,Hardcourt-Asphalt,,City of Toronto,3,Lights,3,Outdoor,Public reservable,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=723,,,Summer,,,,,,,,,
Pine Point Park,"4 Conan Rd, Etobicoke, ON M9W 3S7",43.71134098,-79.5494458,Hardcourt-Asphalt,,City of Toronto,2,Lights,2,Outdoor,Public,Etobicoke,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=859,,,Summer,,,,,,,,,
Pine Point Tennis Club,"15 Grierson Rd, Etobicoke, ON M9W 3R2",43.71268503,-79.543447,Green-Clay,,City of Toronto,4,Lights,No,Outdoor,Private,Etobicoke,Pine Point Tennis Club,http://www.pinepointtennis.com,Open,Yes,416-657-2529,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=859,,,Summer,,,,,,,,,
Prairie Drive Park,"101 Pharmacy Ave, Toronto, ON M1L 3E6",43.69684514,-79.28470552,Hardcourt-Asphalt,,City of Toronto,3,Lights,1,Outdoor,Public,Toronto,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=733,,,Summer,,,,,,,,,
Prince of Wales Park,"1 Third St, Etobicoke, ON M8V 2X5",43.59882571,-79.49911968,Hardcourt-Asphalt,,City of Toronto,4,Lights,No,Outdoor,Public,Etobicoke,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=924,,,Summer,,,,,,,,,
Princess Anne Park,"25A Princess Margaret Blvd, Toronto, ON M9A 1Z5",43.67275007,-79.5401766,Hardcourt-Asphalt,,City of Toronto,2,No Lights,2,Outdoor,Public,Toronto,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=951,,,Summer,,,,,,,,,
Queensway Park,"8 Avon Park Dr, Etobicoke, ON M8Z 3X4",43.6265768,-79.50615462,Hardcourt-Asphalt,,City of Toronto,2,No Lights,1,Outdoor,Public,Etobicoke,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=861,,,Summer,,,,,,,,,
Ramsden Park,"1020 Yonge St & Ramsden Park Rd, Toronto, ON M4W 1P7",43.67638967,-79.39535974,Hardcourt-Asphalt,,City of Toronto,12,No Lights,8,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=167,,,Summer,,,,,,,,,
Rennie Park,"1 Rennie Terrace, Toronto, ON M6S 3C6",43.64469433,-79.47338531,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,Toronto,The Swansea Tennis Club,http://www.swanseatennis.com,Open,,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=181,,,Summer,,,,,,5 p.m. - 11 p.m.,,1 p.m. - 3 p.m.,
Riverdale Park East,"550 Broadview Ave, Toronto, ON M4K 2N6",43.67201416,-79.35586103,Hardcourt-Asphalt,,City of Toronto,7,No Lights,6,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=343,,,Summer,,,,,,,,,
Rockford Park,"70 Rockford Rd, North York, ON M2R 3A7",43.78608206,-79.45336267,Hardcourt-Asphalt,,City of Toronto,2,No Lights,No,Outdoor,Public,North York,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=742,,,Summer,,,,,,,,,
Rosedale Park,"20 Scholfield Ave, Toronto, ON M4W 2Y3",43.68324644,-79.37885839,Hardcourt-Acrylic,,City of Toronto,8,No Lights,No,Outdoor,Private with some public hours,Toronto,The Rosedale Tennis Club,http://www.rosedaletennis.com,Waitlist,,416-922-7906,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=210,,,Summer,,,,,,5 p.m. - 9 p.m.,4 p.m. - 9 p.m.,2 p.m. - 8 p.m.,
Rosethorn Park,"26 Remington Dr, Etobicoke, ON M9A 2J5",43.65831084,-79.53864046,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,Etobicoke,The Rosethorn Tennis Club,https://www.rosethorntennisclub.com/,Waitlist,,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=987,,,Summer,,,,,,7 p.m. - 11 p.m.,9 p.m. - 11 p.m.,,
Rotary Peace Park,"25 Eleventh St, Toronto, ON M8V 2A6",43.595242,-79.50793111,Hardcourt-Asphalt,,City of Toronto,2,Lights,1,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=867,,,Summer,,,,,,,,,
Royal Crest Park,"50 Cabernet Cir, Toronto, ON M9V 5A3",43.75249415,-79.60536259,Hardcourt-Asphalt,,City of Toronto,3,Lights,No,Outdoor,Public,Toronto,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=878,,,Summer,,,,,,,,,
Roywood Park,"2 Roywood Dr, North York, ON M3A 2C7",43.76383267,-79.32070965,Hardcourt-Asphalt,,City of Toronto,4,Lights,No,Outdoor,Public,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=347,,,Summer,,,,,,,,,
Ruddington Park,"75 Ruddington Dr, Toronto, ON",43.79261109,-79.38941624,Hardcourt-Asphalt,,City of Toronto,3,Lights,No,Outdoor,Public,Toronto,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=747,,,Summer,,,,,,,,,
Runnymede Park,"221 Ryding Ave, Toronto, ON M6N 1H6",43.66828839,-79.47790724,Hardcourt-Asphalt,,City of Toronto,2,No Lights,No,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=235,,,Summer,,,,,,,,,
Scarboro Crescent Park,"61 Undercliff Dr, Scarborough, ON M1N 3Z5",43.70543303,-79.24220463,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,Scarborough,Scarborough Bluffs Tennis Club,http://www.sbtennis.org,Open,Yes,416-410-6300,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1748,,,Summer,,,,,,5 p.m. - 8 p.m.,5 p.m. - 8 p.m.,5 p.m. - 8 p.m.,
Scarlett Mills Park,"235 Edenbridge Dr, Toronto, ON M9A 3G9",43.6761548,-79.51068683,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,Toronto,Edenbridge Tennis Club,https://edenbridgetennis.com/,Open,,416-279-9940,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1471,,,Summer,,,,,,8 p.m. - 11 p.m.,8 p.m. - 11 p.m.,8 p.m. - 11 p.m.,
Seneca Hill Park,"620 Seneca Hill Dr, Toronto, ON M2J 2W6",43.79110925,-79.35208709,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,Toronto,Seneca Hill Tennis Club,https://senecahilltennisclub.com/,Open,,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=748,,,Summer,,,,,,2 p.m. - 5 p.m.,2 p.m. - 5 p.m.,,
Sentinel Park,"295 Sentinel Rd, Toronto, ON M3J 0H4",43.75567595,-79.49793852,Hardcourt-Asphalt,,City of Toronto,2,No Lights,1,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=752,,,Summer,,,,,,,,,
Seven Oaks Park,"372 Military Trail, Toronto, ON M1E 4G1",43.78825263,-79.21042042,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,Toronto,Seven Oaks Tennis Club,,Open,,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=590,,,Summer,,,,,,3 p.m. - 6 p.m.,3 p.m. - 6 p.m.,3 p.m. - 5 p.m.,
Shawnee Park,"81 Shawnee Cir, Toronto, ON M2H 2X9",43.79744562,-79.33869841,Hardcourt-Acrylic,,City of Toronto,4,No Lights,1,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2595,,,Summer,,,,,,,,,
Silver Creek Park,"44 Strathdee Dr, Toronto, ON M9R 1A4",43.68207832,-79.5448397,Hardcourt-Asphalt,,City of Toronto,3,Lights,No,Outdoor,Private,Toronto,Silver Creek Seniors Tennis Club,,,Yes,416-244-7286,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=877,,,Summer,,,,,,,,,
Sir Adam Beck Park,"55 Eltham Dr, Etobicoke, ON M8W 4L9",43.60287045,-79.54816949,Hardcourt-Asphalt,,City of Toronto,2,Lights,1,Outdoor,Public,Etobicoke,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2065,,,Summer,,,,,,,,,
Sir Winston Churchill Park,"301 St Clair Ave W, Toronto, ON M5P 1N5",43.68374452,-79.40894651,Hardcourt-Acrylic,,City of Toronto,10,Lights,No,Outdoor,Private with some public hours,Toronto,Sir Winston Churchill Tennis Club,http://www.winstonchurchilltennis.ca,Waitlist,,416-924-4558,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=200,,,Summer,,,,,,8 p.m. - 11 p.m.,6 p.m. - 11 p.m.,6 p.m. - 11 p.m.,
Sorauren Avenue Park,"289 Sorauren Ave, Toronto, ON M6R 2G4",43.6491179,-79.44406651,Hardcourt-Asphalt,,City of Toronto,2,No Lights,No,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=348,,,Summer,,,,,,,,,
